entry_id;title;au_id;author;year;link;isbn;sign;element
0;Stjärntecknen talar om vem du är - väduren;9;Gisela Melin;2008;http://libris.kb.se/bib/10813515;9789153432111;Aries;Fire
1;Väduren;12;Karmel Nair;2016;http://libris.kb.se/bib/21991157;9789150930122;Aries;Fire
2;Väduren;8;Emilie Josephson;2007;http://libris.kb.se/bib/10572716?vw=full;9789185449576;Aries;Fire
3;Väduren - en guide till ditt astrologiska liv ;20;Stella Andromeda;2023;http://libris.kb.se/bib/p544ntlxmgjt3n1t;9789180376754;Aries;Fire
4;En bok i solens och månens tecken;11;Julia Parker;1996;http://libris.kb.se/bib/2154009;9132320310;Taurus;Earth
5;Oxen;15;Richard Craze;1999;http://libris.kb.se/bib/7457609?vw=full;91638138315100;Taurus;Earth
6;Oxen - översteprästens bok;12;Karmel Nair;2016;http://libris.kb.se/bib/18716019;9789150917031;Taurus;Earth
7;Sådan är du - stjärntecknen berättar;2;Ann Petrie;1985;http://libris.kb.se/bib/526764;9132425333;Taurus;Earth
8;Tvillingarna ;7;Dadhichi Toth;2009;http://libris.kb.se/bib/11731506;9789164063229;Gemini;Air
9;Tvillingarna - en guide till ditt astrologiska liv;20;Stella Andromeda;2023;http://libris.kb.se/bib/m322lrfpk0r8ffsx;9789180376778;Gemini;Air
10;Tvillingarna ;12;Karmel Nair;2017;http://libris.kb.se/bib/21991185;9789150930146 ;Gemini;Air
11;Stjärntecknen talar om vem du är;9;Gisela Melin;2008;http://libris.kb.se/bib/10813517;9789153432135;Gemini;Air
12;Kräftan: en guide till ditt astrologiska liv;20;Stella Andromeda;2023;https://libris.kb.se/bib/bsrr9g4p86pv2dbh?tab2=abs;9789180376785;Cancer;Water
13;Stjärntecknen talar om vem du är: Kräftan;9;Gisela Melin;2008;https://libris.kb.se/bib/10813518;9789153432142;Cancer;Water
14;Soltecken: Kräftan;4;Bernard Fitzwalter;1988;https://libris.kb.se/bib/827317;9179020895;Cancer;Water
15;Bernces astrologiserie Kräftan;13;Linda Goodman;1991;https://libris.kb.se/bib/1438558;9146160108;Cancer;Water
16;Lejonet: en guide till ditt astrologiska liv;20;Stella Andromeda;2023;https://libris.kb.se/bib/r766qwkgp9p6vg9c;9789180376792;Leo;Fire
17;Soltecken: Lejonet;4;Bernard Fitzwalter;1988;https://libris.kb.se/bib/827318;9179020909;Leo;Fire
18;Stjärntecknen talar om vem du är : lejonet;9;Gisela Melin;2008;https://libris.kb.se/bib/10813519;9789153432159;Leo;Fire
